ID,falsto_name,globalid,year
429,Igling_2,5924D75C-C165-4551-A14E-C370444E5B9D,2016
430,Igling_2,5924D75C-C165-4551-A14E-C370444E5B9D,2017
431,Igling_2,5924D75C-C165-4551-A14E-C370444E5B9D,2018
432,Igling_2,5924D75C-C165-4551-A14E-C370444E5B9D,2019
433,Igling_2,ECB053F9-499F-4A99-871B-7B5AB7F09954,2020
434,Igling_2,ECB053F9-499F-4A99-871B-7B5AB7F09954,2021
435,Ipsheim_1,A0BECC24-8194-42A0-914A-8DD7443F4919,2015
436,Ipsheim_1,A0BECC24-8194-42A0-914A-8DD7443F4919,2016
437,Ipsheim_1,A0BECC24-8194-42A0-914A-8DD7443F4919,2017
438,Ipsheim_1,A0BECC24-8194-42A0-914A-8DD7443F4919,2018
439,Ipsheim_1,3E789721-2EB2-427E-83BA-8EFF99CEDA7F,2019
440,Ipsheim_1,F3E9D14C-52F8-4070-9CA6-6E391ADA2C7F,2020
441,Ipsheim_1,F3E9D14C-52F8-4070-9CA6-6E391ADA2C7F,2021
442,Ipsheim_2,4E84ADCB-CAD2-4B7C-A081-B4F412F64BB8,2015
443,Ipsheim_2,4E84ADCB-CAD2-4B7C-A081-B4F412F64BB8,2016
444,Ipsheim_2,4E84ADCB-CAD2-4B7C-A081-B4F412F64BB8,2017
445,Ipsheim_2,4E84ADCB-CAD2-4B7C-A081-B4F412F64BB8,2018
446,Ipsheim_2,F2607872-9BAB-42B6-9259-34DD492BD0B0,2019
447,Ipsheim_2,43D52A3D-15F5-447C-A4C3-F05751F9B0BF,2020
448,Ipsheim_2,43D52A3D-15F5-447C-A4C3-F05751F9B0BF,2021
449,Irsee_1,78739B83-5A45-42EE-A1E7-706DF273F7AF,2015
450,Irsee_1,78739B83-5A45-42EE-A1E7-706DF273F7AF,2016
451,Irsee_1,78739B83-5A45-42EE-A1E7-706DF273F7AF,2017
452,Irsee_1,78739B83-5A45-42EE-A1E7-706DF273F7AF,2018
453,Irsee_1,78739B83-5A45-42EE-A1E7-706DF273F7AF,2019
